Symbol,date,expiry,open,close,Strike_Price,Spot_Price,Risk_Free_Intrest,Time,Volatility,LTP,BS_Call,MC_Call,FD_Call,C(T+1),C_BS(T+1),C_MC(T+1),C_FD(T+1)
BANKNIFTY,04-Mar-2013,28-Mar-2013,128.35,154.1,11575.6,11700.0,0.00094,0.06575342466,0.3218359157,158.5,350.7704391,347.2648818,341.3964719,254.2,376.6251169,372.0994221,369.5540499
BANKNIFTY,04-Mar-2013,28-Mar-2013,70.4,82.65,11575.6,11900.0,0.00094,0.06575342466,0.3388077237,87.2,287.5092191,297.952914,281.5402237,147.3,553.9659673,563.2789846,546.5064484
BANKNIFTY,04-Mar-2013,28-Mar-2013,175,201.1,11575.6,11600.0,0.00094,0.06575342466,0.3575321198,210,440.4206951,446.9569396,433.9608581,319.7,425.5551458,432.320382,416.2393025
BANKNIFTY,04-Mar-2013,28-Mar-2013,88.8,114.8,11575.6,11800.0,0.00094,0.06575342466,0.3395252158,119,328.136168,326.2317202,320.4298644,192.95,615.0521033,617.3693959,608.6813586
BANKNIFTY,04-Mar-2013,28-Mar-2013,243.85,257.65,11575.6,11500.0,0.00094,0.06575342466,0.3592135596,265.15,493.4972251,505.124828,487.8971895,396.2,709.6759482,730.7977515,695.624209
BANKNIFTY,04-Mar-2013,28-Mar-2013,345,389.9,11575.6,11300.0,0.00094,0.06575342466,0.3241204912,405,568.1713106,570.4835058,555.698577,562.95,631.793272,643.6916363,616.184611
BANKNIFTY,04-Mar-2013,28-Mar-2013,271.7,321.95,11575.6,11400.0,0.00094,0.06575342466,0.3149481031,325,497.9168442,508.6786015,483.5251244,485.75,1004.356805,1021.523639,982.1658927
BANKNIFTY,04-Mar-2013,28-Mar-2013,-,520.0,11575.6,11100.0,0.00094,0.06575342466,0.3092128016,520,685.2463534,676.6761576,668.1167726,520.0,775.417461,789.902924,758.7941596
BANKNIFTY,04-Mar-2013,28-Mar-2013,411.25,480.0,11575.6,11200.0,0.00094,0.06575342466,0.316966537,480,624.5787541,625.5498551,608.4872679,653.6,1087.942814,1101.130429,1063.693818
BANKNIFTY,05-Mar-2013,28-Mar-2013,55.55,76.0,11792.05,12100.0,0.00094,0.06301369863,0.2807215558,76.5,225.2747078,230.0881234,213.8628983,108.9,342.2399653,356.152332,333.4549435
BANKNIFTY,05-Mar-2013,28-Mar-2013,69.95,107.5,11792.05,12000.0,0.00094,0.06301369863,0.3214905839,108.4,312.1138092,310.5544375,302.5154324,148.85,409.7916906,410.4822812,401.3678255
BANKNIFTY,05-Mar-2013,28-Mar-2013,102.95,147.3,11792.05,11900.0,0.00094,0.06301369863,0.3388077237,147.15,376.6251169,372.0994221,369.5540499,199.65,596.4270887,604.467131,589.9922103
BANKNIFTY,05-Mar-2013,28-Mar-2013,246.25,319.7,11792.05,11600.0,0.00094,0.06301369863,0.3575321198,322,553.9659673,563.2789846,546.5064484,387.35,660.7108453,679.3308419,653.5210177
BANKNIFTY,05-Mar-2013,28-Mar-2013,302.95,396.2,11792.05,11500.0,0.00094,0.06301369863,0.3592135596,397.65,615.0521033,617.3693959,608.6813586,468.75,497.6975588,500.1637729,485.1215313
BANKNIFTY,05-Mar-2013,28-Mar-2013,164.95,254.2,11792.05,11700.0,0.00094,0.06301369863,0.3218359157,250.95,457.0864891,464.0080571,446.2457871,315.7,462.037385,461.6350268,454.0792574
BANKNIFTY,05-Mar-2013,28-Mar-2013,126.15,192.95,11792.05,11800.0,0.00094,0.06301369863,0.3395252158,193.2,425.5551458,432.320382,416.2393025,250.75,683.6482319,686.8568062,668.5457207
BANKNIFTY,05-Mar-2013,28-Mar-2013,375,485.75,11792.05,11400.0,0.00094,0.06301369863,0.3149481031,485.75,631.793272,643.6916363,616.184611,525.0,764.30938,765.7553991,749.3075951
BANKNIFTY,05-Mar-2013,28-Mar-2013,490,562.95,11792.05,11300.0,0.00094,0.06301369863,0.3241204912,562.95,709.6759482,730.7977515,695.624209,645.9,907.7101343,906.3532179,888.99844
BANKNIFTY,06-Mar-2013,28-Mar-2013,89.05,108.9,11876.2,12100.0,0.00094,0.0602739726,0.2807215558,113,252.060587,256.673789,240.5941584,152.5,262.3906143,271.0610413,252.7156673
