Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,13000.00,6.00,7.50,3.05,4.40,3.55,4.40,937.00,3046.47,121788.75,34975.00,1575.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,12900.00,4.50,6.80,2.30,5.10,4.35,5.10,445.00,1435.70,57422.50,6025.00,-450.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,12800.00,9.00,9.00,5.00,5.75,5.80,5.75,626.00,2004.17,97382.50,22850.00,1550.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,12600.00,15.00,15.00,9.05,9.75,9.25,9.75,2226.00,7018.27,636931.25,35625.00,8850.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,12700.00,10.00,10.00,5.10,6.85,6.30,6.85,1497.00,4755.99,301430.00,28300.00,14175.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,12500.00,25.00,29.95,12.20,13.35,12.50,13.35,3637.00,11379.75,1412312.50,84850.00,11275.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,12300.00,37.95,37.95,22.25,25.75,23.50,25.75,2245.00,6918.66,1528261.25,60550.00,11925.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,12400.00,22.00,29.95,17.00,18.65,17.35,18.65,1628.00,5055.23,843076.25,31400.00,7375.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,12000.00,81.80,83.65,57.05,67.25,63.00,67.25,13343.00,40265.61,23660990.00,181600.00,55250.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,12100.00,55.00,61.90,40.40,48.35,42.75,48.35,3255.00,9888.36,4198151.25,65350.00,26650.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,12200.00,38.00,45.00,31.10,34.80,33.40,34.80,3366.00,10298.31,3201161.25,63525.00,5375.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,11700.00,146.00,184.95,136.00,154.10,149.50,154.10,4534.00,13443.05,18109712.50,35350.00,23875.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,11600.00,192.00,235.65,175.00,196.20,189.10,196.20,6630.00,19564.12,33711990.00,54275.00,41075.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,11900.00,90.05,111.05,77.55,86.65,83.50,86.65,8293.00,24866.23,19455143.75,103625.00,81650.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,11800.00,137.70,145.00,104.25,118.00,115.00,118.00,10860.00,32364.14,32714003.75,130575.00,71350.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,11500.00,280.00,292.95,222.30,252.35,242.00,252.35,3340.00,9819.55,21704638.75,29925.00,13250.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,11400.00,320.00,346.30,265.25,311.40,309.50,311.40,194.00,568.11,1520527.50,2675.00,2525.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,11300.00,400.00,431.60,350.00,392.00,392.00,392.00,350.00,1024.04,3528880.00,1925.00,1925.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,11200.00,480.00,490.00,415.00,458.20,456.00,458.20,54.00,157.27,607100.00,700.00,700.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,11100.00,520.00,520.00,520.00,520.00,520.00,520.00,1.00,2.90,13000.00,100.00,-,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,11000.00,601.00,668.00,566.95,609.25,600.00,609.25,84.00,243.98,1298390.00,3175.00,625.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,14500.00,-,-,-,35.00,-,0.05,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,14400.00,-,-,-,69.10,-,0.10,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,14300.00,-,-,-,62.75,-,0.15,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,14000.00,-,-,-,82.70,-,0.40,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,14200.00,-,-,-,74.00,-,0.20,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,14100.00,-,-,-,70.65,-,0.25,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,13700.00,0.05,0.10,0.05,0.10,0.10,0.10,2.00,6.85,3.75,125.00,50.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,13600.00,-,-,-,5.00,5.00,1.70,-,-,-,25.00,-,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,13500.00,2.00,2.00,0.20,0.20,0.20,0.20,5.00,16.88,70.00,550.00,100.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,13900.00,-,-,-,96.45,-,0.55,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,13800.00,-,-,-,112.05,-,0.80,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,13400.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.35,25.00,1150.00,-25.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,13300.00,-,-,-,2.00,2.00,4.65,-,-,-,2575.00,-,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,13200.00,6.90,6.90,2.50,3.00,3.00,3.00,22.00,72.61,1497.50,7200.00,-,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,13100.00,7.00,7.00,4.70,4.70,4.70,4.70,12.00,39.32,1992.50,1575.00,-25.00,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,10700.00,-,-,-,1775.15,-,941.80,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,10900.00,-,-,-,765.00,745.00,769.55,-,-,-,125.00,-,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,10800.00,-,-,-,1748.30,-,854.10,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,10600.00,-,-,-,1547.10,-,1032.05,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,10400.00,-,-,-,1270.00,1270.00,1218.80,-,-,-,150.00,-,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,10300.00,-,-,-,1618.10,-,1314.45,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,10200.00,-,-,-,1717.30,-,1411.15,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,10500.00,1021.50,1116.55,1010.30,1085.55,1085.55,1085.55,38.00,109.68,992640.00,3500.00,-,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,10000.00,-,-,-,1557.75,-,1606.80,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,9900.00,-,-,-,1655.80,-,1705.35,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,28-Mar-2013,CE,10100.00,-,-,-,1460.30,-,1508.70,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,13000.00,1.00,20.00,1.00,20.00,20.00,20.00,2.00,6.51,525.00,75.00,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,12900.00,-,-,-,389.90,-,79.75,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,12800.00,-,-,-,442.65,-,93.70,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,12700.00,-,-,-,499.70,-,109.65,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,12600.00,-,-,-,560.95,-,127.80,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,12500.00,-,-,-,626.30,-,148.30,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,12400.00,-,-,-,696.20,-,171.75,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,12300.00,-,-,-,768.90,-,197.10,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,12100.00,-,-,-,925.20,-,257.95,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,12000.00,160.00,180.00,160.00,180.00,180.00,180.00,5.00,15.21,21250.00,975.00,25.00,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,12200.00,-,-,-,845.45,-,225.95,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,11900.00,-,-,-,1093.20,-,331.95,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,11600.00,-,-,-,1361.70,-,469.90,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,11700.00,-,-,-,1270.40,-,420.20,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,11800.00,-,-,-,1180.80,-,374.25,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,11400.00,-,-,-,1548.40,-,580.35,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,11300.00,-,-,-,1643.30,-,641.15,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,11500.00,-,-,-,1454.45,-,523.25,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,11200.00,-,-,-,1739.00,-,705.60,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,11000.00,-,-,-,1823.35,-,845.40,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,11100.00,-,-,-,1835.30,-,773.50,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,14300.00,-,-,-,35.20,-,5.55,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,14100.00,-,-,-,53.40,-,8.45,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,14200.00,-,-,-,43.45,-,6.85,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,14000.00,-,-,-,65.15,-,10.40,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,13900.00,-,-,-,79.05,-,12.75,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,13800.00,-,-,-,95.30,-,15.60,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,13500.00,-,-,-,91.00,91.00,27.85,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,13600.00,-,-,-,136.45,-,23.05,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,13400.00,-,-,-,189.20,-,33.50,-,-,-,-,-,11540.05
BANKNIFTY,01-Mar-2013,25-Apr-2013,CE,13700.00,-,-,-,114.20,-,19.00,-,-,-,-,-,11540.05
